umkm_name,umkm_category,total_seller_gain,total_project_value,total_revenue
DELI KARYA PRIMA,Kecil,0,5532000,0
PIXELINDO,Kecil,0,9245000,0
SENTANI ARYAGUNA NUSANTARA,Kecil,0,3862800,0
Pusat Stationery,Kecil,521062,9253500,1869
PT. TUAN UMAR MANDAYUN,Kecil,42510000,92796000,289395
PT. GLOBAL MUTIARA MUDA,Kecil,0,233741524,0
Shinta Furniture Grosir,Kecil,0,18686000,0
CV INDRA COLLECTION,Kecil,0,329159955,0
PT. DUTA BALIKPAPAN MANDIRI,Kecil,0,864801000,0
PT PRIMA GROOVE CREATIVE,Kecil,0,90500000,0
PT Berkat Keselamatan Dunia,Kecil,157063300,1326765661,1048142
BUMI PRINTING,Kecil,1536390,23350000,2702
Telle AC Teknik,Kecil,0,9635000,0
Rian Imy,Kecil,4362040,17505000,21706
CV. NAUFALINDO MAKMUR,Kecil,0,539445428,0
Toko Evi,Kecil,0,63829000,0
KOPKAR ANGKASA PURA,Kecil,606375,201901825,-144
Anugrah Galery,Kecil,18950420,21842000,125890
PRIMKOKAR PERUM PERHUTANI KPH MADURA,Kecil,979387,1330000,-1923
ALFISA STORE,Kecil,0,85000,0
Dunia computer,Kecil,0,43000,0
CV. SATYAMA JAYA PERSADA ,Kecil,0,26640,0
KOPEGTEL MANGGATA,Kecil,37205120,903932068,222822
Tampa Printer,Kecil,0,570000,0
CV.Barolia Utama,Kecil,5236880,23772480,28436
RAJALANGIT SKUAD TAKTIS,Kecil,0,87912000,0
SINAR BERKAT ABADI,Kecil,0,83890850,0
CV. PRIMA LESTARI MOTOR,Kecil,0,25974000,0
KOPERASI PRIMKOPKAR PERHUTANI KPH MOJOKERTO,Kecil,43938810,47693490,243033
HENDARMIN TANOKO,Kecil,9107180,71452500,59069
JAMSOY TRUST OFFICIAL,Kecil,0,93000,0
SARI GUNDA,Kecil,28943890,74440476,187348
SEI LIPUT PERDANA,Kecil,0,6660000,0
PT. Greenevind Optimis Lestari,Kecil,0,31000000,0
ALTIGA SEJAHTERA MANDIRI,Kecil,0,630600,0
PT. Naraya Sukses Mandiri,Kecil,0,204669126,0
PT. MULTI DATA PALEMBANG,Kecil,23696330,605617123,141945
Apotek Esa Farma,Kecil,0,9662000,0
SATRIA UTAMA PERKASA,Kecil,0,11433000,0
cv.timmy electrindo ,Kecil,0,40526100,0
FEDRIN TRIPUTRA MANDIRI,Kecil,19965090,144766185,114338
Jama Jama Kreatif,Kecil,0,180997099,0
PT. ARINA JAYA BERSAMA,Kecil,0,317002033,0
PT. JAVA ARTHA KENCANA,Kecil,88703296,379457708,607202
BAYU AGUNG SINERGI,Kecil,0,109584750,0
PT. ANUGERAH SETIA PERDANA,Kecil,0,220777664,0
PT. ANDAL PRATAMA ABADI,Kecil,0,200081490,0
BAHANA UTAMA,Kecil,0,42705585,0
CV NEGERI SAKTI,Kecil,143537340,759854150,965702
CV ANGKASA UTAMA,Kecil,33723600,844763058,225381
CV JAYA TEKNINDO,Kecil,24102200,131492820,162405
UTAMA KARYA TECHINDO,Kecil,0,29359500,0
PT. SHERBO NIAGA PRATAMA,Kecil,94277600,176178000,632423
PT. PERMATA NUSA INDAH,Kecil,64016200,176268000,428902
Pariwisata indah reksa express,Kecil,25134100,25324000,165767
Ampiang Yu erin,Kecil,214380,687000,-4555
MITRA UTAMA SOLUSINDO,Kecil,0,7217220,0
WINATA UTAMA TUNGGAL,Kecil,0,5727600,0
TRI REKA BANGUN,Kecil,0,544297971,0
NAYSANDUWOT,Kecil,0,2158228816,0
PT NAGA NUSANTARA,Kecil,0,2554692025,0
PT. Tanjung Jaya Sejahtera,Kecil,0,3869874728,0
PT Bringin Rancang Sejahtera,Kecil,0,49697500,0
Tata PSetya,Kecil,0,27776352,0
WARNA CIPTA KREASI,Kecil,74980800,85582110,509743
PT. CIPTA GATRI SAPUTRA,Kecil,0,10522800,0
PT. PRATAMA MANDIRI ABADI,Kecil,262832400,3239232763,1778756
ERWIN PUTRA,Kecil,0,629000000,0
NIKI-NIKI,Kecil,197006192,662208425,1321683
BUDI GUNA GASINDO,Kecil,97839296,430876682,656377
KOPKARTEL MAPPADECENG,Kecil,290277310,1876511048,1949127
KOPERASI PERSATUAN PENSIUNAN TELKOM  (KOP2TEL) PEKANBARU,Kecil,0,53464260,0
DERENDER SUKSES JAYA,Kecil,0,32079888,0
ADINDRA TRI WARNA,Kecil,0,131426775,0
Surya Indah CV,Kecil,12030800,209358750,79975
UD. AINI KARYA,Kecil,16252400,83529000,108802
JALUR GLOBAL,Kecil,0,80525000,0
KOPERASI RUMBIO JAYA STEEEL,Kecil,0,1525106700,0
CV WIRABUANA NUSAKARYA,Kecil,347854016,349428000,1397590
FRANITA BERKAT SEJAHTERA,Kecil,0,289209034,0
BREKARONA BERSAUDARA,Kecil,0,717926854,0
CV. ISANDA RAESHA SAVA,Kecil,0,349492643,0
SABANA IKO NO,Kecil,19430470,499456599,112735
CV. Alpha Parellindo,Kecil,0,173609328,0
CV. RIAU JAYA PERDANA,Kecil,0,114643020,0
MALae,Kecil,0,57826782,0
KOPERASI KARYAWAN SUCOFINDO PEKANBARU,Kecil,0,2600064,0
TEKNOLOGI SERSA JAYA,Kecil,0,60577140,0
CV. Inti Bangun Negeri,Kecil,15324760,67943100,69890
CV. GALLERI ADVERTISING,Kecil,654912,1343100,223
PT. Manahara Andalan Utama,Kecil,0,111317387,0
ANUGRAH CAHAYA BHUMIRAYA,Kecil,0,61330090,0
TAPAK ANAK BINTAN,Kecil,0,165662925,0
CV. Dhia Afna Anugerah Batam,Kecil,16310500,113562500,103175
CV. BINTANG KARYA GEMILANG,Kecil,0,27506261,0
PT. MALANO PILAR ENJINIRING,Kecil,0,15712387,0
CV. CENDANA 26,Kecil,0,17916125,0
YORI INSTRUMENT,Kecil,0,17252206,0
CV BISYARAH KENCANA KONSULTAN,Kecil,0,2182477,0
Jaya Mitra Technology,Kecil,0,23675998,0
JAYA DIGITAL SOLUSINDO,Kecil,0,71262000,0
LENTERA CEMERLANG SEMESTA,Kecil,0,33276690,0
RIAU SEJATI PEKANBARU,Kecil,0,34410000,0
PD SINAR SURYA,Kecil,0,194611400,0
CV. WIRA GEMILANG,Kecil,0,156983317,0
CV. Sarana Indah Perkasa,Kecil,0,595548966,0
CV. ZAMZAMI SEJAHTERA,Kecil,0,132301455,0
Diamond Jaya Teknik,Kecil,0,8498000,0
CV. Agri Sembilan Empat,Kecil,0,11980000,0
CV. BERSAMA PELUMASINDO MAKMUR,Kecil,0,31701600,0
TOKO BINA TANI,Kecil,0,59101850,0
DARUL BARAKAT BERSAMA,Kecil,0,794621027,0
PT AFRILIA CIPTA KARYA,Kecil,219035096,2066022151,1481283
PT. PANCA USAHA PRIMA,Kecil,0,68487000,0
PT Alamanda Suryatama,Kecil,0,205096920,0
PT. SUMBER SEJATI,Kecil,0,387417750,0
CV. SENTOSA JASA PRIMA,Kecil,0,68769673,0
BINA CIPTA ABADI,Kecil,0,6422460,0
PERDANA AIR CONDITIONER SERVIS,Kecil,4317380,4350000,25221
DELAPAN SEMBILAN,Kecil,0,19080900,0
INDESC FAJAR MANDIRI,Kecil,0,159729000,0
Delapan Sembilan,Kecil,10103400,30553860,67357
CV. PRISMA PRADANA,Kecil,10940600,74925000,73458
PT INDO PRIMA AKSES,Kecil,0,28950699,0
PT. Intan Sukses Inspirasi,Kecil,0,3479996,0
CV Karisma Multi Talenta,Kecil,0,1160855521,0
CV. MIRTA TRIYA,Kecil,0,4144743643,0
PT. Krisna Bayu Mandiri,Kecil,67891904,213581045,454968
PT. BUDI HARUM MURNI,Kecil,0,329317020,0
Harapan motor,Kecil,0,18518130,0
IKRA BERSAMA,Kecil,27008300,30669300,182795
JASA BANGUN MANDIRI,Kecil,0,198754740,0
DIANKA AMERTA PRADIPA,Kecil,0,222000000,0
PT CITRA MEDIA NUSA PURNAMA,Kecil,0,429792000,0
LINTANG JAYA PERKASA,Kecil,0,3590240,0
PT. TALESTARI TIGA DUA,Kecil,24004600,80622321,140974
Kurnia Citra Adhi,Kecil,0,73682910,0
PT. PHERISSA BANGKIT BERSAMA,Kecil,64386000,333000000,387640
CV.ARIDWANI PRATAMA,Kecil,401068000,6557436000,2716405
MITRATAMA INTEGRASI SEJAHTERA,Kecil,0,13744575,0
PT Kreasi Bumi Arkananta,Kecil,58557,200000,-1241
INFORMATIKA MEDIA PRATAMA,Kecil,0,47175000,0
ADELIA MUDA DINAMIKA,Kecil,0,376919340,0
INDO ARGO MAS,Kecil,239679008,1586339850,1086156
PUTERA JAYA TEKNIK,Kecil,0,14985000,0
HARAPAN JAYA SEMPURNA,Kecil,0,476134500,0
BANUA RAYA,Kecil,0,4329000,0
Uma Supra Snack,Kecil,0,72000,0
Merdeka catering,Kecil,109956000,112200000,497110
DELIMA PRIMA RASA Catering,Kecil,0,102000000,0
umah panganan,Kecil,0,71400000,0
KOPERASI PEGAWAI PLN PUSAT,Kecil,183446304,1018433991,1247783
Koperasi Karyawan PLN Jasa Sertifikasi,Kecil,2093840,2108089,11042
CV PANCA HAFRITA REKSA AGUNG,Kecil,0,888000,0
SAMS KIDS,Kecil,5582810,1244965668,35367
SUMBER TEHNIK,Kecil,35630120,1081538488,235268
CV. PETRA,Kecil,0,470752610,0
CV. DWI ARTHA KENCANA,Kecil,0,557951276,0
Koperasi Palapa Delapan Lima,Kecil,0,573017500,0
CV.ASINDO,Kecil,494966820,2095283500,3278821
PT. ABILAL PAMA MANDIRI,Kecil,231566600,1403270784,1544308
KASTARA MEGAH PERKASA,Kecil,0,222000000,0
PT. PRIMA PERDANA BERSAUDARA,Kecil,0,343517174,0
CV. SOLUSI LANCAR PERKASA,Kecil,0,48285000,0
PT. WAHANA MITRA ANDALAN,Kecil,0,49950000,0
PT GLOBAL BORNEO MANDIRI,Kecil,23150100,132382500,153514
CV. Aurindo Borneo Perkasa,Kecil,0,26640000,0
SURYA KUTAI ELEKTRIK,Kecil,0,16583400,0
CV. Surya Putra Kemenangan,Kecil,0,102785220,0
TEHNIK MANDIRI,Kecil,0,28305000,0
RIZKI KARYA EKACIPTA,Kecil,0,48762300,0
CV LUGA MANDIRI,Kecil,0,61800000,0
PT WESADA INTI ANUGRAH,Kecil,0,72532500,0
KIAN JAYA ABADI,Kecil,0,11655000,0
CV. TIGA BINTANG TEKNOLOGI,Kecil,3472880,9584850,19391
MITRA CHEMINDO UTAMA,Kecil,166817000,186566025,1113745
ALIKA KARUNIA ADHITAMA,Kecil,6125490,60236536,35451
PT. Kana Pangan Nusantara,Kecil,11808270,93583500,76146
CV Basela Jusi,Kecil,21041210,95047635,122487
Percetakan Sahabat,Kecil,0,68525000,0
PT METRO SOLUSI INDONESIA,Kecil,0,83250000,0
MITRA VISINDO TEKNOLOGI,Kecil,0,141846900,0
CV SUMBER ABADI,Kecil,61114500,1219672832,415694
CIPTA SOLUSI NUSANTARA,Kecil,0,2220000,0
SARANA FORESTA INDONESIA,Kecil,66782800,75835200,454401
CV WIKU TEKHNIK MANDIRI,Kecil,256528220,861621349,1706195
ARCA CAHAYA MAKMUR,Kecil,49029500,523793780,327565
MOGGALLANA DWI SUKSES,Kecil,0,221833500,0
KIRANA KEMILAU ABADI,Kecil,0,38805000,0
YAKIN JAYA UTAMA,Kecil,0,53268900,0
Duta Rakin Sentosa,Kecil,30291130,584600930,197144
PT JAYAKARTA GLOBAL PRATAMA,Kecil,0,66822000,0
KOPERASI PEKERJA PERTAMINA EP (KOPPEP),Kecil,91747210,967591710,615021
ANAK KRAKATAU NUSANTARA,Kecil,0,89946000,0
ENERGI NUSA PERSADA,Kecil,0,7548000,0
DHARMA MALACCA,Kecil,49625000,75687958,331570
Alsita Pratama,Kecil,26797500,48351600,178045
RAINTECH INDO ENERGI,Kecil,0,80925000,0
Koperasi Karyawan Intercarrier Indonesia (KOINT),Kecil,1776036412,8168449152,10419433
MEGA INK,Kecil,0,708000,0
Sentral Dielektrika Lestari,Kecil,0,121735,0
PT Megah Berkah Pratama,Kecil,0,1650726,0
Mcblush Merchandise Service (PT Mahardhika Citra Indonesia),Kecil,0,25814160,0
KOPERASI MAHAKAM JAKARTA,Kecil,306059000,2090314507,2046937
INTI SURYA PERSADA,Kecil,6657380,34132500,39416
JAYASEGAR BERKAT MANDIRI,Kecil,0,6181194,0
Cv.Ahnaf Jaya,Kecil,24316200,188650938,161357
ASTRO MANDIRI,Kecil,186639700,276139500,1246512
CV LINGKAR MAHAKAM,Kecil,89242900,120962138,595837
SEMBILAN SEMBILAN,Kecil,0,170539290,0
KARTANEGARA ABADI,Kecil,0,217805060,0
HB BATTERY,Kecil,0,188000000,0
CV DEEPTA ALAULA,Kecil,265921430,2453044500,1427716
CV. Arjuna Jaya Sakti,Kecil,0,81815,0
Fortuna Advertising & Digital Printing,Kecil,11665500,51302000,75844
CV. Mitra Usaha,Kecil,365751600,1362425460,2450926
PT. GAYA TANGKAS,Kecil,0,108874350,0
DHARMA INDAH JAYA,Kecil,0,434774235,0
KREASINDO SOLUTION,Kecil,0,496923690,0
PT. INTI NUSA DINAMIKA OPTIMA,Kecil,0,110576240,0
PRATAMA PUTRA SRIWIJAYA,Kecil,0,109603620,0
CV. Rotasi Teknolab,Kecil,98426600,324735770,658147
BHETRI OIL,Kecil,0,18833232,0
TIGA BERKAT KARUNIA,Kecil,0,643309480,0
HANDAL ENGINEERING SERVICES,Kecil,247609000,585139005,1654375
BERINGIN JAYA,Kecil,0,1107940950,0
CV Bumi Riau,Kecil,0,64102500,0
CAHAYA TERANG,Kecil,0,149986270,0
PT. Annora Engineering Indonesia,Kecil,0,34132500,0
CV.MUTIARA PETRO SURYA,Kecil,9726500,167407980,63235
PT Awendra Riau Sejahtera,Kecil,35730000,481223000,238120
CV. RIDAVO,Kecil,0,24683310,0
CV USHIMARI,Kecil,0,5217000,0
CV LAKUSA TORUI CORPORATION,Kecil,0,89707536,0
ABEWIL JAYA,Kecil,0,21289800,0
BERKAT MADUMA JAYA,Kecil,0,199078500,0
RATATIA INDONESIA BERKAH,Kecil,14954100,160013120,98393
PT BONIAGA RAYA PERDANA,Kecil,3422340,63033749,18540
Metrik Riau,Kecil,0,42890400,0
ANUGERAH BUMI KAYA,Kecil,0,55107900,0
FATHIYA INDAH KARYA,Kecil,0,52447500,0
